provinces,cityMunicipality,link
NATIONAL CAPITAL REGION (NCR),CALOOCAN CITY DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/CALOOCAN-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CALOOCAN CITY DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/CALOOCAN-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CALOOCAN CITY DIST 3,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/CALOOCAN-3RD_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF LAS PIÑAS DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/LAS_PINAS-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF LAS PIÑAS DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/LAS_PINAS-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF MAKATI DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MAKATI-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF MAKATI DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MAKATI-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF MANDALUYONG DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MANDALUYONG-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF MANDALUYONG DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MANDALUYONG-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF MARIKINA DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MARIKINA-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF MARIKINA DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MARIKINA-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF MUNTINLUPA DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MUNTINLUPA-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF MUNTINLUPA DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MUNTINLUPA-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF PARAÑAQUE DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/PARANAQUE-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF PARAÑAQUE DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/PARANAQUE-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF PASIG DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/PASIG-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF PASIG DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/PASIG-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF VALENZUELA DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/VALENZUELA-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),CITY OF VALENZUELA DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/VALENZUELA-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),MALABON CITY DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MALABON-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),MALABON CITY DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MALABON-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),MANILA DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MANILA-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),MANILA DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MANILA-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),MANILA DIST 3,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MANILA-3RD_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),MANILA DIST 4,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MANILA-4TH_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),MANILA DIST 5,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MANILA-5TH_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),MANILA DIST 6,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/MANILA-6TH_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),NAVOTAS CITY DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/NAVOTAS-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),NAVOTAS CITY DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/NAVOTAS-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),PASAY CITY DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/PASAY-1ST_DISTRICT.pdf
