cityMunicipality,code
City of Puerto Princesa,1731500000
Kapalawan,1999901000
Old Kaabakan,1999902000
Kadayangan,1999903000
Nabalawag,1999904000
Pahamuddin,1999905000
Malidegao,1999906000
Ligawasan,1999907000
Tugunan,1999908000
Adams,0102801000
Bacarra,0102802000
Badoc,0102803000
Bangui,0102804000
City of Batac,0102805000
Burgos,0102806000
Carasi,0102807000
Currimao,0102808000
Dingras,0102809000
Dumalneg,0102810000
Banna,0102811000
City of Laoag,0102812000
Marcos,0102813000
Nueva Era,0102814000
Pagudpud,0102815000
Paoay,0102816000
Pasuquin,0102817000
Piddig,0102818000
Pinili,0102819000
San Nicolas,0102820000
Sarrat,0102821000
Solsona,0102822000
Vintar,0102823000
Alilem,0102901000
Banayoyo,0102902000
Bantay,0102903000
Burgos,0102904000
Cabugao,0102905000
City of Candon,0102906000
Caoayan,0102907000
Cervantes,0102908000
Galimuyod,0102909000
Gregorio del Pilar,0102910000
Lidlidda,0102911000
Magsingal,0102912000
Nagbukel,0102913000
Narvacan,0102914000
Quirino,0102915000
Salcedo,0102916000
San Emilio,0102917000
San Esteban,0102918000
San Ildefonso,0102919000
San Juan,0102920000
San Vicente,0102921000
Santa,0102922000
Santa Catalina,0102923000
Santa Cruz,0102924000
Santa Lucia,0102925000
Santa Maria,0102926000
Santiago,0102927000
Santo Domingo,0102928000
Sigay,0102929000
Sinait,0102930000
Sugpon,0102931000
Suyo,0102932000
Tagudin,0102933000
City of Vigan,0102934000
Agoo,0103301000
Aringay,0103302000
Bacnotan,0103303000
Bagulin,0103304000
Balaoan,0103305000
Bangar,0103306000
Bauang,0103307000
Burgos,0103308000
Caba,0103309000
Luna,0103310000
Naguilian,0103311000
Pugo,0103312000
Rosario,0103313000
City of San Fernando,0103314000
San Gabriel,0103315000
San Juan,0103316000
Santo Tomas,0103317000
Santol,0103318000
Sudipen,0103319000
Tubao,0103320000
Agno,0105501000
Aguilar,0105502000
City of Alaminos,0105503000
Alcala,0105504000
Anda,0105505000
Asingan,0105506000
Balungao,0105507000
Bani,0105508000
Basista,0105509000
Bautista,0105510000
Bayambang,0105511000
Binalonan,0105512000
Binmaley,0105513000
Bolinao,0105514000
Bugallon,0105515000
Burgos,0105516000
Calasiao,0105517000
City of Dagupan,0105518000
Dasol,0105519000
Infanta,0105520000
Labrador,0105521000
Lingayen,0105522000
Mabini,0105523000
Malasiqui,0105524000
Manaoag,0105525000
Mangaldan,0105526000
Mangatarem,0105527000
Mapandan,0105528000
Natividad,0105529000
Pozorrubio,0105530000
Rosales,0105531000
City of San Carlos,0105532000
San Fabian,0105533000
San Jacinto,0105534000
San Manuel,0105535000
San Nicolas,0105536000
San Quintin,0105537000
Santa Barbara,0105538000
Santa Maria,0105539000
Santo Tomas,0105540000
Sison,0105541000
Sual,0105542000
Tayug,0105543000
Umingan,0105544000
Urbiztondo,0105545000
City of Urdaneta,0105546000
Villasis,0105547000
Laoac,0105548000
Basco,0200901000
Itbayat,0200902000
Ivana,0200903000
Mahatao,0200904000
Sabtang,0200905000
Uyugan,0200906000
Abulug,0201501000
